Timestamp,Be Bypass,Fr Beamline,Center,Surrounding,FC,NC,Be temp (degC),He press (V),Au temp (V),Read Au current,Au Target,Takefune Left,Takefune Right,Extraction,Def Up,Def Down,Drift 1,Einzel,Drift 2,Read Au current Current,Au Target Current,Takefune Left Current,Takefune Right Current,Extraction Current,Def Up Current,Def Down Current,Drift 1 Current,Einzel Current,Drift 2 Current,Freq (kHz),Phase (deg),Amp(CH1) (Vpp),Amp(CH2) (Vpp)
2022/03/14 11:42:03,0.002030000,0.000043800,0.000000,24.000000,0.603457,0.000000,0.000050,3.018000,0.711150,0.20603649,100.61469269,94.51383972,96.53384399,-246.44406128,-39.44862366,-48.90883255,0.58162117,0.57852703,0.12561397,0.00000000,-0.00000314,0.00000080,0.00000080,0.00000017,0.00000029,0.00000046,-0.00000014,-0.00000027,0.00000003,0,0,0,0
2022/03/14 11:42:04,0.002030000,0.000043500,0.000000,24.000000,0.590040,0.000000,0.000050,3.017500,0.711150,0.20603649,100.01856995,93.99443054,95.95528412,-246.47344971,-39.45449829,-48.95584106,0.58358133,0.57894027,0.12594908,0.00000000,-0.00000299,0.00000080,0.00000080,0.00000017,0.00000029,-0.00000017,-0.00000014,-0.00000027,0.00000003,0,0,0,0
2022/03/14 11:42:05,0.001930000,0.000037700,0.000000,24.000000,0.515348,0.000000,0.000050,3.018000,0.711150,0.20603649,106.87288666,94.00912476,96.01476288,-246.46903992,-39.45376205,-48.95510483,-21.45227051,0.57905769,0.12568408,0.00000000,-0.00000306,0.00000080,0.00000080,0.00000017,0.00000029,-0.00000017,-0.00000316,-0.00000027,0.00000003,0,0,0,0
2022/03/14 11:42:06,0.001930000,0.000041500,0.000000,24.000000,0.478616,0.000000,0.000050,3.018000,0.711150,0.20603649,99.96051025,94.02381134,95.96923828,-246.46609497,-39.97811508,-48.96612167,-21.46770859,0.36730003,0.12475105,0.00000000,-0.00000296,0.00000077,0.00000074,0.00000017,0.00000029,-0.00000017,-0.00000015,-0.00000029,0.00000003,0,0,0,0
2022/03/14 11:42:07,0.002020000,0.000043100,0.000000,24.000000,0.744705,0.000000,0.000050,3.018000,0.711150,0.20603649,99.96932983,94.01573181,96.01403046,-246.95007324,-39.99647522,-48.97200012,-21.45888710,-24.63546371,0.12221375,0.00000000,-0.00000307,0.00000079,0.00000079,0.00000017,0.00000029,-0.00000017,-0.00000014,-0.00000303,0.00000003,0,0,0,0
2022/03/14 11:42:08,0.002080000,0.000043600,0.000000,24.000000,1.094357,0.000000,0.000050,3.018000,0.711150,0.20603649,99.84363556,94.01132202,95.97658539,-246.99194336,-39.98105240,-48.94262314,-21.48314667,-103.14493561,0.12421016,0.00000000,-0.00000310,0.00000078,0.00000077,0.00000017,0.00000029,-0.00000017,-0.00000015,-0.00000304,0.00000003,0,0,0,0
2022/03/14 11:42:09,0.002110000,0.000043800,0.000000,24.000000,1.205201,0.000000,0.000050,3.018000,0.711150,0.20603649,99.94360352,94.01426697,96.03311920,-247.01397705,-39.97738266,-48.95877838,-21.47432518,-129.28767395,0.12509377,0.00000000,-0.00000311,0.00000078,0.00000078,0.00000017,0.00000029,-0.00000017,-0.00000015,-0.00000309,0.00000003,0,0,0,0
2022/03/14 11:42:10,0.002140000,0.000044000,0.000000,24.000000,1.251888,0.000000,0.000050,3.018000,0.711150,0.20603649,99.95757294,94.01279449,95.97290802,-246.99708557,-39.97370911,-49.53168488,-21.46109390,-171.78608704,-46.72870636,0.00000000,-0.00000304,0.00000078,0.00000078,0.00000017,0.00000029,-0.00000017,-0.00000015,-0.00000306,-0.00000267,0,0,0,0
2022/03/14 11:42:11,0.002160000,0.000044100,0.000000,24.000000,1.244871,0.000000,0.000050,3.018000,0.711150,0.20603649,99.96565247,94.00471497,96.00521088,-247.00222778,-39.97517776,-49.52286911,-21.45153427,-180.40919495,-98.77928162,0.00000000,-0.00000311,0.00000078,0.00000078,0.00000017,0.00000029,-0.00000017,-0.00000015,-0.00000032,-0.00000273,0,0,0,0
2022/03/14 11:42:12,0.002170000,0.000044000,0.000000,24.000000,1.040474,0.000000,0.000050,3.018000,0.711150,0.20603649,100.00925446,94.00627899,95.99583435,-247.00149536,-39.99500656,-49.52801132,-21.98746109,-180.44813538,-172.59384155,0.00000000,-0.00000315,0.00000078,0.00000078,0.00000017,0.00000029,-0.00000017,-0.00000015,-0.00000031,-0.00000270,0,0,0,0
